"Order ID","Order Date","Customer ID","Product ID","Sales","Quantity","Discount","Profit","Shipping Cost"
"CA-2012-124891","2012-07-31","RH-19495","TEC-AC-10003033","2309.65","7","0.0","762.1845","933.57"
"IN-2013-77878","2013-02-05","JR-16210","FUR-CH-10003950","3709.395","9","0.1","-288.765","923.63"
"IN-2013-71249","2013-10-17","CR-12730","TEC-PH-10004664","5175.171","9","0.1","919.971","915.49"
"ES-2013-1579342","2013-01-28","KM-16375","TEC-PH-10004583","2892.51","5","0.1","-96.54","910.16"
"SG-2013-4320","2013-11-05","RH-9495","TEC-SHA-10000501","2832.96","8","0.0","311.52","903.04"
"IN-2013-42360","2013-06-28","JM-15655","TEC-PH-10000030","2862.675","5","0.1","763.275","897.35"
"IN-2011-81826","2011-11-07","TS-21340","FUR-CH-10004050","1822.08","4","0.0","564.84","894.77"
"IN-2012-86369","2012-04-14","MB-18085","FUR-TA-10002958","5244.84","6","0.0","996.48","878.38"
"CA-2014-135909","2014-10-14","JW-15220","OFF-BI-10003527","5083.96","5","0.2","1906.485","867.69"
"CA-2012-116638","2012-01-28","JH-15985","FUR-TA-10000198","4297.644","13","0.4","-1862.3124","865.74"
"CA-2011-102988","2011-04-05","GM-14695","OFF-SU-10002881","4164.05","5","0.0","83.281","846.54"
"ID-2012-28402","2012-04-19","AJ-10780","FUR-TA-10001889","4626.15","5","0.0","647.55","835.57"
"SA-2011-1830","2011-12-27","MM-7260","TEC-CIS-10001717","2616.96","4","0.0","1151.4","832.41"
"MX-2012-130015","2012-11-13","VF-21715","FUR-CH-10002033","2221.8","7","0.0","622.02","810.25"
"IN-2013-73951","2013-06-06","PF-19120","OFF-AP-10003500","3701.52","12","0.0","1036.08","804.54"
"ES-2014-5099955","2014-07-31","BP-11185","OFF-AP-10000423","1869.588","4","0.1","186.948","801.66"
"CA-2014-143567","2014-11-03","TB-21175","TEC-AC-10004145","2249.91","9","0.0","517.4793","780.7"
"ES-2014-1651774","2014-09-08","PJ-18835","OFF-AP-10004512","7958.58","14","0.0","3979.08","778.32"
"IN-2014-11763","2014-01-31","JS-15685","TEC-CO-10000865","2565.594","9","0.1","28.404","766.93"
"TZ-2014-8190","2014-12-05","RH-9555","OFF-KIT-10004058","3409.74","6","0.0","818.28","763.38"
"PL-2012-7820","2012-08-08","AB-600","FUR-HON-10000224","1977.72","4","0.0","276.84","759.47"
"CA-2011-154627","2011-10-29","SA-20830","TEC-PH-10001363","2735.952","6","0.2","341.994","752.51"
"IN-2011-44803","2011-05-02","JK-15325","FUR-CH-10000027","2754.0","6","0.0","358.02","752.47"
"ES-2013-2860574","2013-02-27","LB-16795","OFF-AP-10003590","5273.7","10","0.0","1898.4","730.91"
"US-2014-133193","2014-07-31","NP-18325","TEC-PH-10004182","1713.84","4","0.0","445.52","728.97"
"MX-2014-165309","2014-09-05","VD-21670","FUR-TA-10002827","2106.496","8","0.2","526.496","728.39"
"IN-2011-10286","2011-12-17","PB-19210","FUR-TA-10004744","1715.16","2","0.0","720.36","725.57"
"ES-2011-4699764","2011-03-14","EB-14110","OFF-AP-10004512","3069.738","6","0.1","1364.238","725.34"
"CA-2013-159016","2013-03-11","KF-16285","TEC-PH-10002885","4158.912","8","0.2","363.9048","714.66"
"IN-2012-44810","2012-02-25","BP-11230","FUR-CH-10001415","1878.72","4","0.0","582.36","704.08"
"US-2011-128776","2011-12-28","RR-19525","TEC-PH-10002815","1696.64","5","0.2","-148.46","704.06"
"ES-2012-5870268","2012-07-17","BS-11365","TEC-MA-10000161","2402.865","9","0.15","763.155","699.55"
"CA-2012-139731","2012-10-15","JE-15745","FUR-CH-10002024","2453.43","5","0.3","-350.49","690.42"
"IN-2011-28087","2011-11-03","DP-13105","OFF-AP-10004246","2526.93","5","0.1","561.48","689.8"
"CA-2011-168494","2011-12-12","NP-18700","FUR-TA-10003473","3610.848","12","0.2","135.4068","683.12"
"CG-2011-8610","2011-09-14","AH-30","TEC-APP-10000308","3817.26","6","0.0","1068.66","678.15"
"CA-2011-160766","2011-09-14","DM-13015","TEC-MA-10003979","2799.96","4","0.0","1371.9804","675.15"
"US-2014-168116","2014-11-05","GT-14635","TEC-MA-10004125","7999.98","4","0.5","-3839.9904","674.82"
"ES-2014-2637201","2014-01-14","PO-18865","TEC-CO-10000013","4141.02","13","0.0","1697.67","668.96"
"IN-2011-61302","2011-01-10","DL-12865","TEC-PH-10004664","2875.095","5","0.1","511.095","665.27"
"ID-2013-63976","2013-08-22","JB-16000","TEC-PH-10000499","3200.5962","6","0.17","-77.2038","660.87"
"IN-2014-37320","2014-11-11","BF-11005","TEC-PH-10003856","4518.78","7","0.0","632.52","658.69"
"IN-2014-76016","2014-09-26","VG-21805","FUR-BO-10004852","5667.87","13","0.0","2097.03","658.35"
"ES-2012-5877219","2012-12-13","GT-14710","TEC-PH-10004583","5785.02","9","0.0","404.73","656.73"
"IT-2011-3183678","2011-09-23","ZC-21910","OFF-AP-10000486","3018.624","7","0.2","377.244","655.91"
"CA-2011-116904","2011-09-23","SC-20095","OFF-BI-10001120","9449.95","5","0.0","4630.4755","655.61"
"IT-2013-3085011","2013-03-08","EB-13840","FUR-CH-10003365","2092.5","5","0.1","720.75","652.98"
"IN-2014-50473","2014-08-28","AP-10915","FUR-CH-10000602","2761.2","6","0.0","110.34","644.75"
"IN-2014-35983","2014-05-01","SW-20275","TEC-MA-10002680","2174.13","7","0.0","500.01","637.86"
"MX-2014-126984","2014-12-18","JH-15820","FUR-CH-10000891","3473.14","11","0.0","868.12","634.53"
"US-2012-163825","2012-06-16","LC-16885","OFF-BI-10003527","3050.376","3","0.2","1143.891","632.05"
"IR-2014-8540","2014-09-18","TG-11640","TEC-CAN-10003392","2108.64","8","0.0","527.04","630.97"
"US-2014-135013","2014-07-25","HR-14830","TEC-CO-10001449","2399.96","5","0.2","839.986","630.05"
"IN-2011-10286","2011-12-17","PB-19210","FUR-BO-10001372","2197.5","5","0.0","153.75","627.27"
"MZ-2013-3690","2013-12-18","DG-3300","TEC-MOT-10002272","2582.16","4","0.0","593.88","627.17"
"IN-2012-66342","2012-05-30","SG-20470","TEC-CO-10004997","1526.52","4","0.0","732.72","625.77"
"CA-2012-111829","2012-03-19","FH-14365","TEC-CO-10001766","3149.93","7","0.0","1480.4671","617.92"
"IN-2012-48240","2012-05-25","GP-14740","FUR-TA-10000226","1745.34","2","0.0","226.86","616.27"
"IN-2014-61792","2014-08-05","MW-18220","OFF-AP-10002244","4191.507","9","0.1","1164.267","614.34"
"CA-2014-129021","2014-08-24","PO-18850","TEC-PH-10001459","4367.896","13","0.2","327.5922","609.44"
"IN-2014-75470","2014-03-11","CS-12460","FUR-BO-10001073","3063.27","7","0.0","581.91","609.24"
"CA-2012-114811","2012-11-08","KD-16495","TEC-MA-10000045","4643.8","4","0.0","2229.024","607.34"
"ES-2014-4673578","2014-08-11","MS-17980","TEC-PH-10002035","4473.0","7","0.0","313.11","604.4"
"IT-2013-3376681","2013-08-31","KC-16675","TEC-PH-10002565","1502.01","9","0.0","225.18","600.21"
"IN-2014-66615","2014-01-18","DB-13405","FUR-CH-10000027","5049.0","11","0.0","656.37","595.5"
"CA-2013-143805","2013-12-02","JD-15895","OFF-AP-10002945","2104.55","7","0.0","694.5015","594.02"
"IT-2014-4540740","2014-12-07","DK-13090","FUR-BO-10004999","2188.05","5","0.0","1050.15","593.91"
"IN-2014-11231","2014-12-16","CS-11845","FUR-TA-10001205","1920.36","4","0.0","652.92","592.77"
"MX-2014-154907","2014-11-20","EM-14200","TEC-PH-10004196","1704.0","4","0.0","119.28","592.73"
"UP-2011-8610","2011-11-09","DW-3480","FUR-CHR-10001018","1858.68","4","0.0","130.08","590.56"
"IN-2013-40050","2013-06-07","AS-10225","FUR-CH-10003232","3298.26","7","0.0","1055.25","589.36"
"MX-2011-110275","2011-11-22","ST-20530","OFF-AP-10001630","2443.48","13","0.0","121.94","589.29"
"CG-2013-6110","2013-03-29","BW-1065","FUR-HAR-10002873","3808.8","8","0.0","1523.52","588.13"
"IN-2014-30110","2014-08-26","LA-16780","FUR-TA-10000687","3427.1496","7","0.47","-452.8104","586.57"
"ES-2012-2058076","2012-09-20","AB-10150","TEC-PH-10004505","3441.69","6","0.1","38.07","585.25"
"IN-2014-51950","2014-05-16","JH-15820","TEC-PH-10002683","2863.35","5","0.1","858.9","581.88"
"CA-2012-145352","2012-03-16","CM-12385","OFF-BI-10003527","6354.95","5","0.0","3177.475","581.12"
"ES-2013-4670866","2013-11-24","BE-11410","TEC-CO-10002269","1487.4","10","0.0","728.7","580.98"
"IN-2011-62506","2011-11-09","SZ-20035","TEC-CO-10002526","3200.04","9","0.0","1183.95","576.71"
"IN-2011-46413","2011-10-28","RM-19375","FUR-CH-10000602","2301.0","5","0.0","91.95","573.27"
"ES-2014-3785216","2014-11-19","HG-14845","FUR-CH-10002891","5729.346","14","0.1","63.546","572.95"
"MO-2014-2000","2014-10-28","DP-3105","TEC-CAN-10001437","5301.24","14","0.0","2597.28","568.45"
"CA-2014-138289","2014-01-17","AR-10540","OFF-BI-10004995","5443.96","4","0.0","2504.2216","567.95"
"CA-2014-118892","2014-08-18","TP-21415","FUR-CH-10002024","4416.174","9","0.3","-630.882","566.65"
"ES-2013-1434123","2013-01-29","JB-16000","TEC-PH-10004327","3219.9","5","0.0","965.85","564.25"
"ID-2012-78207","2012-09-18","AM-10705","OFF-AP-10001621","2487.8088","6","0.17","-269.7912","562.14"
"MO-2013-8630","2013-11-23","AB-255","OFF-HOO-10001881","2266.44","4","0.0","113.28","556.45"
"IN-2012-64774","2012-06-13","RP-19270","TEC-CO-10001954","3068.361","9","0.1","1124.901","555.77"
"IN-2013-48765","2013-10-28","BK-11260","FUR-BO-10003282","3728.43","9","0.0","1192.86","553.31"
"IN-2013-69730","2013-12-12","JM-15250","TEC-CO-10003102","1581.48","6","0.0","0.0","550.74"
"IN-2012-48240","2012-05-25","GP-14740","TEC-PH-10004664","1916.73","3","0.0","498.33","548.4"
"US-2013-102239","2013-05-06","LW-16990","FUR-TA-10003392","1685.88","6","0.0","320.3172","548.08"
"ES-2013-3467296","2013-12-02","NZ-18565","OFF-AP-10002552","2432.16","5","0.1","513.36","546.9"
"CA-2014-6550","2014-12-23","SV-10815","TEC-MOT-10000554","3863.88","6","0.0","1159.02","546.56"
"ID-2013-25742","2013-01-28","SC-20695","FUR-CH-10001415","2465.82","7","0.25","197.19","546.49"
"IN-2012-86698","2012-05-07","NC-18625","FUR-TA-10003627","1847.52","2","0.0","738.96","545.89"
"ES-2013-2903666","2013-11-27","NF-18385","FUR-BO-10001133","2899.89","7","0.0","927.78","541.59"
"IN-2012-30446","2012-11-28","NZ-18565","FUR-CH-10000027","2891.7","7","0.1","96.39","541.57"
"IT-2012-1779015","2012-09-29","PM-18940","TEC-MA-10003515","2016.846","9","0.15","-0.054","540.77"
"ES-2013-3903130","2013-09-03","MZ-17335","OFF-AP-10002904","3155.544","7","0.1","34.944","539.94"
"CG-2013-3470","2013-07-26","HM-4980","TEC-MOT-10003348","3856.14","6","0.0","1465.2","533.99"
"IN-2014-13639","2014-11-19","RW-19540","TEC-PH-10001990","3524.472","6","0.1","861.372","531.28"
"ES-2012-2510515","2012-06-19","LH-17155","TEC-PH-10002898","2167.296","4","0.15","790.416","531.09"
"MX-2012-153157","2012-10-11","FH-14365","TEC-PH-10004196","2556.0","6","0.0","178.92","530.49"
"ES-2011-2585328","2011-08-09","KM-16660","TEC-CO-10001633","1469.25","5","0.0","308.4","527.87"
"ES-2011-4500805","2011-11-05","PO-18865","TEC-PH-10002623","4448.832","8","0.15","1517.712","527.85"
"CA-2014-107174","2014-11-07","AB-10060","FUR-TA-10004575","2036.86","7","0.0","366.6348","524.76"
"MX-2013-113824","2013-04-26","AB-10060","FUR-BO-10001498","2472.66","9","0.0","914.76","523.47"
"IN-2013-45076","2013-12-26","DB-13060","OFF-AP-10003598","3739.176","8","0.1","747.816","522.79"
"IT-2013-5208514","2013-03-13","VM-21685","FUR-CH-10001582","2570.865","11","0.5","-2211.165","520.89"
"US-2013-107440","2013-04-17","BS-11365","TEC-MA-10001047","9099.93","7","0.0","2365.9818","516.91"
"ES-2012-2314672","2012-04-05","DM-13525","TEC-PH-10000505","2875.77","9","0.5","-1783.08","516.63"
"ES-2012-4765389","2012-12-26","NM-18520","FUR-BO-10002003","1741.8","4","0.0","261.24","515.24"
"IN-2013-15368","2013-04-18","LC-16885","TEC-CO-10001775","1601.64","5","0.1","587.19","511.47"
"IN-2011-18385","2011-05-24","RO-19780","OFF-AP-10000647","3670.8","7","0.0","367.08","510.72"
"CA-2012-149846","2012-05-22","SB-20185","TEC-MA-10004002","2973.32","7","0.2","334.4985","510.18"
"ES-2013-2757712","2013-05-16","EM-14065","TEC-CO-10001926","1900.95","5","0.0","589.2","506.89"
"CA-2011-106726","2011-12-06","RS-19765","OFF-ST-10001496","1261.33","7","0.0","327.9458","506.49"
"IT-2011-1978668","2011-02-16","ON-18715","FUR-CH-10002203","4544.1","11","0.1","1868.13","506.27"
"IN-2013-63773","2013-05-31","VS-21820","FUR-BO-10001934","1455.12","4","0.0","116.4","504.56"
"IN-2013-10965","2013-10-01","CM-12115","TEC-CO-10000562","1943.19","6","0.1","258.93","499.62"
"CA-2011-145541","2011-12-14","TB-21400","TEC-MA-10001127","6999.96","4","0.0","2239.9872","499.55"
"CA-2013-117121","2013-12-18","AB-10105","OFF-BI-10000545","9892.74","13","0.0","4946.37","498.7"
"ID-2013-79432","2013-12-11","JK-15325","TEC-CO-10002035","1695.87","5","0.1","-37.83","498.62"
"IT-2014-4499061","2014-03-18","RP-19270","TEC-CO-10004099","1505.979","6","0.15","-265.761","498.52"
"IN-2014-34226","2014-12-19","DW-13540","TEC-PH-10003002","1954.17","3","0.0","312.66","498.38"
"CA-2011-136567","2011-12-20","PS-19045","FUR-TA-10001932","2244.48","7","0.0","493.7856","498.14"
"CA-2013-143714","2013-05-24","CC-12370","TEC-CO-10004722","8399.976","4","0.4","1119.9968","498.08"
"CA-2011-151330","2011-10-14","TC-21295","FUR-CH-10000749","1628.82","9","0.0","260.6112","496.46"
"MX-2014-158386","2014-09-18","GM-14440","TEC-CO-10004398","1213.18876","7","0.002","508.00876","493.41"
"IN-2013-30663","2013-11-25","SV-20815","TEC-CO-10004535","1590.6","5","0.0","572.55","493.2"
"IN-2013-77444","2013-11-07","MM-17920","TEC-AC-10000420","2330.64","9","0.0","1025.46","492.79"
"IN-2014-39077","2014-07-19","JK-16120","FUR-BO-10001212","3278.5848","8","0.07","140.8248","492.28"
"ID-2012-60980","2012-08-16","EM-14200","TEC-PH-10001670","3741.5238","7","0.17","946.6338","491.91"
"CA-2013-128594","2013-08-27","DJ-13510","FUR-CH-10001215","1603.136","4","0.2","100.196","489.6"
"IN-2012-57025","2012-01-11","PM-18940","FUR-BO-10004679","3637.602","10","0.07","156.402","487.86"
"MX-2013-157868","2013-01-28","AT-10435","OFF-AP-10001776","2455.88","7","0.0","785.82","487.48"
"ID-2012-66111","2012-06-14","AB-10015","TEC-MA-10003704","1024.68","8","0.5","-286.92","487.32"
"CA-2011-120474","2011-12-01","RP-19390","FUR-CH-10001854","2807.84","8","0.0","673.8816","487.15"
"CA-2013-100300","2013-06-25","MJ-17740","TEC-MA-10000984","4476.8","4","0.2","503.64","485.47"
"MX-2012-164791","2012-12-06","PV-18985","TEC-AC-10000376","2297.96","14","0.0","988.12","483.26"
"IT-2013-1350483","2013-09-05","SB-20290","TEC-CO-10003800","2671.41","7","0.0","534.24","483.04"
"SO-2014-4990","2014-09-18","SM-10005","TEC-SAM-10004230","3834.0","6","0.0","268.38","481.04"
"CA-2014-149559","2014-09-12","KF-16285","FUR-CH-10002320","2054.272","8","0.2","256.784","480.56"
"IN-2012-30943","2012-08-03","KH-16330","OFF-AP-10002312","3501.7368","8","0.17","210.8568","479.96"
"IN-2014-13324","2014-12-09","MP-18175","TEC-PH-10000169","1725.462","3","0.1","747.612","479.94"
"IN-2012-46889","2012-10-25","LH-17020","TEC-CO-10000865","1583.7","5","0.0","174.15","479.67"
"CA-2012-114069","2012-07-13","ND-18370","FUR-CH-10000595","1931.04","9","0.1","321.84","477.15"
"ID-2013-35640","2013-08-27","CR-12625","FUR-BO-10000288","2760.345","7","0.1","-214.725","475.34"
"IN-2011-30292","2011-05-13","NC-18625","TEC-AC-10000866","3078.72","12","0.0","523.08","474.44"
"IT-2011-3675195","2011-11-03","GM-14680","OFF-AP-10001623","1983.135","7","0.5","-1784.895","473.27"
"ES-2014-2034971","2014-08-02","RA-19945","FUR-BO-10003541","1112.778","3","0.1","296.658","472.0"
"ES-2011-1426891","2011-09-20","DB-13060","TEC-CO-10004365","3616.5","10","0.0","36.0","471.92"
"CA-2014-159366","2014-01-08","BW-11110","TEC-MA-10000822","3059.982","2","0.1","679.996","471.22"
"IN-2013-14773","2013-03-11","RF-19735","TEC-PH-10000499","2892.105","5","0.1","160.605","470.29"
"ES-2012-4934238","2012-02-02","JH-15820","TEC-PH-10000800","3263.4","5","0.0","848.4","469.29"
"CA-2013-108987","2013-09-09","AG-10675","FUR-BO-10004834","2396.2656","4","0.32","-317.1528","469.16"
"MX-2014-111941","2014-04-09","DM-12955","FUR-TA-10001642","3117.088","13","0.2","38.948","466.7"
"US-2013-143819","2013-03-02","KD-16270","TEC-MA-10003979","4899.93","7","0.0","2400.9657","466.33"
"MX-2014-152961","2014-03-19","BE-11335","OFF-AP-10001041","1888.7","5","0.0","887.6","465.92"
"IN-2013-17041","2013-10-02","SO-20335","OFF-AP-10002090","3000.78","6","0.0","1080.18","465.63"
"ES-2013-4679331","2013-01-12","DK-12835","OFF-AP-10002330","3801.63","7","0.0","1444.59","465.02"
"SA-2014-1270","2014-08-20","LC-7050","TEC-CIS-10002344","5211.12","8","0.0","1146.24","463.98"
"IN-2011-10286","2011-12-17","PB-19210","FUR-TA-10002153","1356.03","3","0.0","311.85","458.97"
"IN-2014-12897","2014-03-14","CG-12520","OFF-AP-10004964","3569.643","7","0.1","674.163","458.54"
"CA-2013-134887","2013-03-26","TB-21280","TEC-AC-10003832","1287.45","5","0.0","244.6155","457.14"
"ID-2014-10076","2014-07-09","HG-15025","FUR-BO-10004679","2910.0816","8","0.07","125.1216","456.32"
"ID-2013-70122","2013-06-11","AD-10180","FUR-CH-10002061","3126.4002","9","0.27","-128.7198","455.71"
"ES-2011-2257437","2011-08-10","BP-11155","TEC-PH-10002759","5276.988","9","0.1","1758.888","454.81"
"ID-2014-63920","2014-03-17","AA-10480","TEC-PH-10001699","2645.376","5","0.17","-0.024","452.6"
"ID-2013-29564","2013-01-02","RL-19615","FUR-BO-10001934","1637.01","5","0.1","-36.39","452.28"
"CA-2013-108196","2013-11-26","CS-12505","TEC-MA-10000418","4499.985","5","0.7","-6599.978","451.63"
"ID-2012-36403","2012-10-10","SW-20245","TEC-PH-10001699","2645.376","5","0.17","-0.024","451.03"
"CA-2014-127180","2014-10-23","TA-21385","TEC-PH-10001494","2399.6","8","0.0","647.892","449.45"
"IN-2011-19351","2011-06-17","BW-11110","FUR-TA-10001889","3238.305","5","0.3","-740.295","449.18"
"ES-2014-5842530","2014-04-03","YC-21895","FUR-BO-10000490","2291.814","7","0.1","127.134","448.91"
"MX-2011-137897","2011-05-17","JM-15580","TEC-PH-10000018","2124.5","5","0.0","488.6","447.66"
"BO-2014-8960","2014-02-11","MZ-7335","FUR-HON-10003533","2757.78","6","0.0","744.48","446.33"
"ES-2013-2220066","2013-10-12","JF-15295","TEC-AC-10001949","1549.98","6","0.0","139.32","443.92"
"CA-2011-127299","2011-09-19","JL-15835","TEC-MA-10001127","2624.985","3","0.5","-944.9946","443.69"
"UP-2014-4500","2014-07-17","DJ-3510","OFF-HOO-10004910","3146.4","6","0.0","629.28","443.55"
"ES-2014-2440513","2014-11-22","MF-18250","TEC-MA-10001335","2456.619","11","0.15","664.719","442.49"
"IT-2011-5629016","2011-05-30","TC-21295","FUR-TA-10000347","2228.6355","7","0.35","-754.4145","440.25"
"CA-2014-133263","2014-04-01","JE-15610","TEC-CO-10001449","2999.95","5","0.0","1439.976","439.69"
"IN-2014-65488","2014-07-17","CP-12340","OFF-AP-10002090","4001.04","8","0.0","1440.24","439.65"
"ES-2014-5530354","2014-08-29","EH-14125","TEC-PH-10000493","4876.875","9","0.15","745.875","439.41"
"IN-2012-23782","2012-12-26","NC-18340","FUR-TA-10003596","1788.822","6","0.3","204.282","439.03"
"IN-2014-37320","2014-11-11","BF-11005","OFF-AP-10002244","3622.29","7","0.0","1267.77","438.89"
"ID-2013-31720","2013-05-01","JS-16030","FUR-TA-10003179","1242.585","5","0.47","-140.715","437.85"
"ES-2011-1712442","2011-08-16","AM-10360","TEC-PH-10001396","4453.05","7","0.0","1424.85","433.41"
"IN-2014-78900","2014-12-03","JF-15190","FUR-TA-10003078","2673.36","8","0.0","1069.2","432.57"
"IN-2013-37803","2013-06-25","AB-10015","FUR-CH-10003581","2046.195","5","0.1","591.045","432.15"
"ES-2013-3939561","2013-01-21","JG-15160","FUR-TA-10000184","5451.3","6","0.0","2071.44","432.13"
"CA-2013-138478","2013-10-22","DP-13390","OFF-BI-10001120","4535.976","3","0.2","1644.2913","431.68"
"IN-2014-56808","2014-07-12","AG-10330","OFF-AP-10001956","1722.2832","4","0.17","539.4432","430.04"
"US-2013-116729","2013-12-26","GK-14620","TEC-PH-10002200","2575.944","7","0.2","257.5944","429.66"
"ES-2014-1972860","2014-09-01","NF-18475","OFF-AP-10003382","1007.424","2","0.1","134.304","428.83"
"CA-2011-119375","2011-11-17","YC-21895","OFF-ST-10002011","2934.33","7","0.0","792.2691","428.8"
"IN-2011-64326","2011-06-07","DR-12940","OFF-AP-10003917","4624.29","9","0.1","1644.03","427.46"
"ES-2011-3259196","2011-10-13","NB-18655","OFF-ST-10002900","1066.446","6","0.1","-11.934","427.24"
"IN-2013-48184","2013-06-10","NM-18445","TEC-CO-10003819","957.6","4","0.0","0.0","427.1"
"IN-2014-77017","2014-12-13","TA-21385","OFF-AP-10000675","4864.32","10","0.1","162.12","426.09"
"CA-2014-150091","2014-10-13","NP-18670","FUR-BO-10003404","2154.9","5","0.0","129.294","426.05"
"ID-2014-31363","2014-06-10","SC-20380","OFF-AP-10001824","1433.8395","3","0.15","-84.3705","424.81"
"SF-2011-6380","2011-02-15","PA-9060","OFF-SME-10000746","2784.6","14","0.0","779.52","422.25"
"ES-2013-1692384","2013-11-28","RB-19570","FUR-BO-10004999","3063.27","7","0.0","1470.21","419.38"
"CA-2014-165323","2014-06-18","SR-20740","TEC-MA-10003673","3404.5","5","0.0","1668.205","419.06"
"CA-2013-168354","2013-09-20","RH-19510","OFF-ST-10001490","1606.23","9","0.0","481.869","418.26"
"US-2011-158554","2011-08-09","LH-16750","TEC-PH-10004196","2044.8","6","0.2","-332.28","417.99"
"CA-2011-141796","2011-06-21","JG-15160","TEC-PH-10001578","1214.85","3","0.0","352.3065","417.47"
"IN-2012-12162","2012-08-02","KB-16585","TEC-CO-10000208","1521.0","4","0.0","0.0","416.74"
"ES-2012-2510515","2012-06-19","LH-17155","OFF-AP-10002330","2443.905","5","0.1","760.305","416.33"
"CA-2012-113404","2012-07-16","EM-13810","FUR-CH-10003312","1348.704","6","0.2","-219.1644","415.69"
